1,北野呂醸造有限会社,〒405-0065 山梨県笛吹市一宮町新巻４８０,35.6319313,138.6962874
2,株式会社シャトー勝沼,〒409-1302 山梨県甲州市勝沼町菱山４７２９,35.66376775,138.7372873
3,原茂ワイン株式会社,〒409-1316 山梨県甲州市勝沼町勝沼３１８１,35.66529186,138.7316682
4,丸藤葡萄酒工業株式会社,〒409-1314 山梨県甲州市勝沼町藤井７８０,35.65027065,138.7149575
5,盛田甲州ワイナリー株式会社,〒409-1316 山梨県甲州市勝沼町勝沼２８４２,35.66223153,138.722747
6,大和葡萄酒株式会社,〒409-1315 山梨県甲州市勝沼町等々力７７６,35.66520373,138.7118959
7,アルプスワイン株式会社,〒405-0068 山梨県笛吹市一宮町狐新居４１８,35.63168938,138.7006751
8,勝沼醸造株式会社,〒409-1313 山梨県甲州市勝沼町下岩崎３７１,35.65638469,138.7157414
9,株式会社くらむぼんワイン,〒409-1313 山梨県甲州市勝沼町下岩崎８３５,35.65572528,138.7231462
10,サッポロビール株式会社、グランポレール勝沼ワイナリー,〒409-1305 山梨県甲州市勝沼町綿塚５７７,35.67679183,138.7038606
11,株式会社サドヤ,〒400-0024 山梨県甲府市北口３丁目３-２４,35.66761976,138.5739158
12,シャトージュン株式会社,〒409-1302 山梨県甲州市勝沼町菱山３３０８,35.67012118,138.7341047
13,岩崎醸造株式会社,〒409-1313 山梨県甲州市勝沼町下岩崎９５７,35.65620433,138.721642
14,塩山洋酒醸造株式会社,〒404-0041 山梨県甲州市塩山千野６９３,35.71677191,138.7329886
15,蒼龍葡萄酒株式会社,〒409-1313 山梨県甲州市勝沼町下岩崎１８４１,35.65915522,138.7222189
16,本坊酒造株式会社、マルス山梨ワイナリー,〒406-0022 山梨県笛吹市石和町山崎１２６,35.65927159,138.6430748
17,メルシャン株式会社、シャトー・メルシャン,〒409-1313 山梨県甲州市勝沼町下岩崎１１０６,35.659364,138.7231797
18,新巻葡萄酒株式会社,〒405-0065 山梨県笛吹市一宮町新巻５００,35.63149631,138.6973205
19,麻屋葡萄酒株式会社,〒409-1315 山梨県甲州市勝沼町等々力１６６,35.66574589,138.7151035
20,機山洋酒工業株式会社,〒404-0047 山梨県甲州市塩山三日市場３３１３,35.72511344,138.7154978
21,サントリーワインインターナショナル株式会社、登美の丘ワイナリー,〒400-0103 山梨県甲斐市大垈,35.71037119,138.5123162
22,敷島醸造株式会社,〒400-1113 山梨県甲斐市亀沢３２２８,35.72548446,138.5268313
23,シャトー酒折ワイナリー株式会社,〒400-0804 山梨県甲府市酒折町１３３８-２０３,35.66317388,138.6018326
24,白百合醸造株式会社,〒409-1315 山梨県甲州市勝沼町等々力８７８-２,35.66459968,138.7084733
25,中央葡萄酒株式会社,〒409-1315 山梨県甲州市勝沼町等々力１７３,35.66565003,138.7141218
26,フジッコワイナリー株式会社,〒409-1313 山梨県甲州市勝沼町下岩崎２７７０-１,35.64827609,138.7206936
27,マンズワイン株式会社,〒409-1306 山梨県甲州市勝沼町山４００,35.69210335,138.7238505
28,株式会社ルミエール,〒405-0052 山梨県笛吹市一宮町南野呂６２４,35.65525846,138.7115018
29,スズラン酒造工業有限会社,〒405-0059 山梨県笛吹市一宮町上矢作８６６,35.66162805,138.7038045
30,株式会社シャトレーゼベルフォーレワイナリー、勝沼ワイナリー,〒409-1316 山梨県甲州市勝沼町勝沼２８３０-３,35.66216018,138.7235668
31,ＭＧＶｓワイナリー,〒409-1315 山梨県甲州市勝沼町等々力６０１-１７,35.66235647,138.7146823
32,まるき葡萄酒株式会社,〒409-1313 山梨県甲州市勝沼町下岩崎２４８８,35.65042091,138.7201629
